
 item_id | time                            | item_dsc                 | value
    8001 | 2020-03-17 12:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 12:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 11:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 11:53:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:23:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:18:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:08:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 11:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 10:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:38:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 10:28:20.000000+0000 | Barometric pressure (mb) | 1009.00
